"sample","fastq_1","fastq_2"
"SRX1317393","s3://bl5632/lenski/data/fastq/SRX1317393_SRR2584866_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317393_SRR2584866_2.fastq.gz"
"SRX3288920","s3://bl5632/lenski/data/fastq/SRX3288920_SRR6178310_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288920_SRR6178310_2.fastq.gz"
"SRX3288921","s3://bl5632/lenski/data/fastq/SRX3288921_SRR6178309_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288921_SRR6178309_2.fastq.gz"
"SRX3288922","s3://bl5632/lenski/data/fastq/SRX3288922_SRR6178308_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288922_SRR6178308_2.fastq.gz"
"SRX3288923","s3://bl5632/lenski/data/fastq/SRX3288923_SRR6178307_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288923_SRR6178307_2.fastq.gz"
"SRX3288924","s3://bl5632/lenski/data/fastq/SRX3288924_SRR6178306_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288924_SRR6178306_2.fastq.gz"
"SRX3288925","s3://bl5632/lenski/data/fastq/SRX3288925_SRR6178305_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288925_SRR6178305_2.fastq.gz"
"SRX3288926","s3://bl5632/lenski/data/fastq/SRX3288926_SRR6178304_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288926_SRR6178304_2.fastq.gz"
"SRX3288927","s3://bl5632/lenski/data/fastq/SRX3288927_SRR6178303_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288927_SRR6178303_2.fastq.gz"
"SRX3288928","s3://bl5632/lenski/data/fastq/SRX3288928_SRR6178302_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288928_SRR6178302_2.fastq.gz"
"SRX3288929","s3://bl5632/lenski/data/fastq/SRX3288929_SRR6178301_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288929_SRR6178301_2.fastq.gz"
"SRX3288930","s3://bl5632/lenski/data/fastq/SRX3288930_SRR6178300_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288930_SRR6178300_2.fastq.gz"
"SRX3288931","s3://bl5632/lenski/data/fastq/SRX3288931_SRR6178299_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288931_SRR6178299_2.fastq.gz"
"SRX3288932","s3://bl5632/lenski/data/fastq/SRX3288932_SRR6178298_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288932_SRR6178298_2.fastq.gz"
"SRX3288933","s3://bl5632/lenski/data/fastq/SRX3288933_SRR6178297_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288933_SRR6178297_2.fastq.gz"
"SRX3288934","s3://bl5632/lenski/data/fastq/SRX3288934_SRR6178296_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288934_SRR6178296_2.fastq.gz"
"SRX3288935","s3://bl5632/lenski/data/fastq/SRX3288935_SRR6178295_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288935_SRR6178295_2.fastq.gz"
"SRX3288936","s3://bl5632/lenski/data/fastq/SRX3288936_SRR6178294_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288936_SRR6178294_2.fastq.gz"
"SRX3288937","s3://bl5632/lenski/data/fastq/SRX3288937_SRR6178293_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288937_SRR6178293_2.fastq.gz"
"SRX3288938","s3://bl5632/lenski/data/fastq/SRX3288938_SRR6178292_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288938_SRR6178292_2.fastq.gz"
"SRX3288939","s3://bl5632/lenski/data/fastq/SRX3288939_SRR6178291_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288939_SRR6178291_2.fastq.gz"
